review_content,sentiment
Fully satisfied with the product... Surprisingly Was delivered before 24hrs,Positive
"i loved the product , i'm going to purchase more from here,i recommend other to purchase without any hesitation 🙏🏻",Positive
Earrings KO pixadi KO dandi ra page purai discolor vaisakya raixa 😪 not fully satisfied with the product,Negative
Haat chatney swaad xaa ...\n\nvery good ...,Positive
I received wrong size,Negative
Asked for the DARK TAN but got the BLACK ! Out of use!,Negative
ekdam ramro cha quality nyano pani cha,Positive
Good product.👍,Positive
good according to the price ..,Positive
Good one. got as expected. but delivery took longer. thanks.,Positive
Got the set in a great condition and it looks great and Thank you for the freebies.Would buy more in the future...Perfect,Positive
happy 🙂,Positive
good,Positive
didn't work properly,Negative
if you buy this shoes you will definitely regret it\n1st order I get another shoes and then 2nd I asked for white they send me black,Negative
"Fast delivery, nice packaging, paper quality is good.\nOverall happy with the service!",Positive
"I find the fragrance a bit strong, it's pleasant though.",Positive
"I am so happy with the seller, the product as seen on website and great quality. I got my package delivered in just two days super quick",Positive
Amazing 😻\nIt just that if u can provide a bigger size width as well as length,Positive
Completely satisfied.,Positive
babal xa,Positive
Got as ordered,Positive
I love this shirt 😍,Positive
Biscuit haru chai daraz bata nakinna nai bhanchu ma chai... sabai tukra/dhulo huncha,Negative
color different 😢.size ni sano  Ani tight bho😢,Negative
best service and quick.. thanks a lott,Positive
exactly same as shown in picture tyo pani yesto affordable 🥹 I recommend you to buy jewelry from this store.,Positive
good product in this price.,Positive
excellent,Positive
average,Positive
Good product,Positive
Idiot send the right color yuh have advertised.,Negative
😍 got it and love it ! ❤️ suruma  tah la stickers ra charm tah raina xa aauta daekhayaera aarko bachyo 😫 lagyathyo but bhitra raixa 😝 ani aarko kura 6 ota charm hunu parnaema 4 ota matra pathaunu vako raixa 😞 otherthen that its wow 🥰,Positive
I love how my skin doesn’t feel dry after washing my face with this facewash,Positive
"got it with 24 hours i ordered and it's same as in the picture, really impressive,  thanks to seller and daraz for your great service, keep it up 👍",Positive
"Feeling annoying, yo mathiko gantees loose xa khali mathi sareko saraii garnu parne kasto product pathako ho yo... toit... hat ko exercise hune raxa khali mathi tala mathi tala😤😤😤",Negative
best skin care Korean sheet mask actually i love it❤️❤️,Positive
a bit bigger than expected but the material is great and warm ✅,Positive
Ekdum mittho yummy 😋🤤,Positive
Good packaging.. fast delivery 👍,Positive
good buy,Positive
good quality really appreciate,Positive
Good product.. similar like a photo,Positive
I got it broken...,Negative
good products,Positive
Fast delivery and nice product,Positive
i got little hole on the gloves but i will use it \ni mean what can u expect its cheap and Chinese,Negative
👌👌👌,Positive
good expected NAI xa product ani seller ko packing sab eakdam thik xa.,Positive
Didn't get the product as shown in the images. It doesn't have high low switch.,Negative
Full paisa wasul maal cha.,Positive
gooood,Positive
Exactly same,Positive
Good😍,Positive
dami x quality!,Positive
ekdamai khatra xa product\nphoto ma jasto xa testai xa❤️,Positive
Best mascara as always !!! Reasonable and gives perfect volume ✨,Positive
2 taa order gareko 1 Taa matrai aayo k garne koslai bhanne poisa gayo ki k ho ani colour ni arkai xa k ho k,Negative
10/10🫶,Positive
good,Positive
"I ordered size 38, but the seller send me XL size..which is 40 size.. otherwise the kurthi was good. Disappointed just because of the size.",Negative
good product ❣️❣️❣️,Positive
Gule ni hunxa hola sochay tha chapkauna ko lai \nKasri chapkaunu aba yo,Negative
Didn't work after 2 months.\n\nDon't buy!!!!,Negative
Glass quality is good  but afaile rakhda bubble haru basxa,Neutral
Good 👍,Positive
hi I love the shoes but the size doesn't fit me so want to exchange is it possible?,Negative
Beautiful  color  cute gamala  thank you so much  sankalpa garden Tools,Positive
Although made in china replica of muda brand it's nice one with reasonable price. Love 💖 it.,Positive
"good for hair strength,not so lather,overall good combination of onion oil n black seed,recomend to use this shampoo rather than other regular market shampoo",Positive
base is a bit wonky otherwise fine,Positive
as expected ... works on desktop harddisk and cdrom with additional 12volt adapter .. \nthanks,Positive
good products,Positive
dami,Positive
awesome❤️,Positive
i got different colours though i ordered all 5 in peach colour but satisfied with the product thank you for lovely product and so quick delivery 😇😇,Positive
I got with red colour cover but in the picture there is white colour shown...\nfake ta haina ni.....,Negative
Affordable price with good quality,Positive
expectations vs reality,Negative
Absolutely loved it. Thank you! ❤️,Positive
"I ordered Surya crystals 2 L , 1800watt but received auto max 2 L 1500 watt..feeling cheated",Negative
Full paisa wasul maal cha,Positive
Expected Much Great than other Food items Sellers. Fully Safety and Hygienic Packaging and Wrapping. Liked in every aspect. Next time we will order again.Thank you seller and daraz.,Positive
Good build and works well but it need high water pressure to have better spraying which is not enough for 3 floors high building.,Positive
good product and there was an update in system too.Good performance and best value for money,Positive
I'd ordered red coloured radio but disappointed to find this black one. There is rate difference in red and black colour radio. Red has higher price. However quality seems good 👍.,Positive
completely different product.....,Negative
"i didnt get what i ordered ,,, i got different , i didnt ger what i paid for , im not sarisfied",Negative
colour  ali chado jany raixa,Negative
good but not so smooth...,Neutral
fully satisfied,Positive
Comfortable and warm 👍,Positive
Aquarium ma ek packet haleko ra instructions haru follow garera sabai kaam gareko tara safa nai bhaena any review about the problem,Negative
"Got only 5 pieces, not 10. Different than shown in the picture. Doesn't work. I didn't get a gift wrap. Total scam.",Negative
i dont know k ho yesto service,Negative
color is not a same is not good,Negative
I love this pant it fits perfectly. It is so warm and comfortable. I completely recommend this purchase and would absolutely buy again,Positive
awesome product.,Positive
it came in a box. i got free batteries 😍😍 also it works well.,Positive
Delivery was delayed but i'm very satisfied with the product\n,Negative
coat ma launa Lai chwaak xa,Positive
i really liked the shirt n quality of clothes....,Positive
I bought two earrings and they are beautiful !!! The pink one is a little longer than what I thought it would be.,Positive
good...,Positive
"Good one, got 3 extra mask as well",Positive
Decent product,Positive
i feel good with price,Positive
Good per price,Positive
good products,Positive
everything else was fine except the confusion in billing which was later cleared by the store.,Positive
dammi,Positive
Broken after 1 week of use.Poor Product,Negative
I ask for 60kg but I get 40kg,Negative
"I operated, it is very good.Sleek design, unique .The fitted MCB  takes care of overload .The power of motor (600watt) seems alright to make even batter. It seems genuine as it is manufactured in collaboration with famous japanese co. \""National\"".Although a bit costilier , I was inspired by a friend  who is using National mixi for 5/6years with no trouble.\n",Positive
6th string buzzes but overall it's rock on strongly recommended,Positive
frequent electric shock lagira xa ke garne hola?,Negative
as expected good product,Positive
good product,Positive
Cute and easy to use ❤️love it,Positive
actually electric jug is really good but not as in picture ❣️we can buy without any hesitation,Positive
dt7 ultra ma perfect fit vayo thank you seller,Positive
"Delivered different item than displayed. The item you  delivered is cheaper than the item you displayed. The brand is different, the manufacturer is different. So if you are planning to buy this then don't. The item they display is available at RS 1700+.",Negative
Build quality is satisfactory for the price point. Haven't tested yet. Will update as I use it. The seller was quite responsive. Received quite early.,Neutral
"Belkin is solid rock solid brand. Cheap Chinese multiplugs are ok for basic needs, but when you need to plug in multiple, valuable pieces of electronics, then this is the way to go. Tight connections, solid build  excellent!",Positive
bad goods,Negative
I got this item but seller mixed up order number with wrong item so transaction still need to hold up.,Negative
Amazed to have received the product within the same day of order ! It looks beautiful and is working perfectly. Tq for quick delivery and sending genuine product. I hope this is durable also. Paisa wasool purchase for me !!,Positive
Dherai ramro  chha,Positive
0 star dude what was that a small pack of bb which cost around 10Rs and you market with that picture and that price it's misleading and I have no clue why daraz keeps your kind of  suppliers who are just a scammer I had plan to give that to my nephew and this is what I get,Negative
I love this product alott.. this is same as i expected❤\nThankyouu daraz! for this useable product..,Positive
feels like I have applied lemon drops on my face....thank you,Positive
👍👍👍,Positive
A great product to purchase\n,Positive
Good 👍,Positive
"I received both damaged, it looked old or used items. Pls don’t buy.",Negative
Good,Positive
Aw love it 😻,Positive
Audio is good but the microphone doesn't work very well,Negative
"Great looking piece for a smart wearable at this price point! And let’s take nothing away from it, the product delivers to expectations and is practical to the core. So to sum it up.Touch is good alarm can be set up if you are a student then it would be helpful.\nIt's a very outstanding product\nIt's display brightness is nice\nIt's display is very smooth.",Positive
impressed by the quality,Positive
"Good and cheap product, but best shoes for me. Thankn you Daraj.....",Positive
got same as shown and I liked it..💖,Positive
Good facial kit,Positive
I get it thank u😊😊,Positive
a very genuine product. very happy customer,Positive
Dnt not worry as I thought but it fine pay this rather then pay more to tailor to put lining layers under ur lehnga 🤦🏻‍♀️,Negative
"Damaged Led Lights, Kindly Return and Replace.",Negative
best quality and excellent satisfaction,Positive
Good one. got as expected. but delivery took longer. thanks.,Positive
i really loved the color and its worth to buy.,Positive
I love this a lot but plz ordered small size i want small I buy large because I loved it so being all size for baby,Positive
4 anteena raixa price pani sasto works fine thank you,Positive
Good quality,Positive
👎👎👎,Negative
i love it small bt cute \nthank u 😊,Positive
"I am pleased with this economically priced bookshelf. I have loaded it with books, trays filled with tools and electronics and found it to be stable, strong and quite nice looking. Free delivery makes it a very good deal",Positive
black order gareko whit ma deliver vayo 3120 order vayako 3110 deliver vo kina yasto customar lai dhagna ta vayanani.,Negative
Does show the temperature but can't say about heating capacity. Let's see I bought two of them and it looks exactly the same.🔥,Positive
"good quality and fits my kid perfectly, thank you!",Positive
contour ali light shade ko aayo,Negative
great packaging,Positive
GOOD ONE AND COMFORTABLE TO CARRY. LETS HOPE ITS DURABLE,Positive
good quality,Positive
good,Positive
Cute as the name says. Product chanhi soche vanda ramro aayo. Thanks ANX.,Positive
I just love it,Positive
Great oil. Thank you,Positive
good quality,Positive
All of the Baker's Secret products from this vendor are topnotch. I would buy this again.,Positive
I like it,Positive
awesome thank you daraz,Positive
Colour photo ma herda ra saman arko vayo original foto pathako vaye hunay will return this one sorry,Negative
Dont cheat the customers. Your product was too cheap than i expected.,Negative
I don’t like this at all😡,Negative
"all 4 colour is so good, but send me different colour 1white n 1black, which is not in ur display pic. so very unresponsible seller \n",Negative
Completely different and got damaged products  .\nI will never purchase again\n,Negative
I received my order mesh router boosts the internet and the everything is fine.,Positive
Crack on that roller(stone),Negative
good seller \n,Positive
HDMI kaam garena USB matra kaam garcha pot haru ne tight Cha,Negative
Feels good at hand 😉,Positive
"Comes with a cheap plastic package. No brand name in cover, not even manufacturer name in the package. Cover quality is too bad. Rs. 850 is too expensive for this quality, this cover deserve less than rs. 200.",Negative
color is beautiful. size is ok but thinner than expected.,Positive
As expected 🖐🏻🖤✔️,Positive
Awesome 👏🏾,Positive
Excellent cotrise pant with warm polar attached to it from inside. Very happy with the product.,Positive
I love it ❤️ thank you 😊,Positive
Good one. just grab it,Positive
ekdum Mann paryo... thank you,Positive
"Everything is fine, it was properly packaged! I really like the packaging. You wont get teaspoon but others are in well shape and size. 😍😍",Positive
good,Positive
Good quality,Positive
"All product were in fine condition,",Positive
1.Nice packaging\n2. Delivered on Time \nThank you for providing with wonderful discount,Positive
Good,Positive
adjust garda milo.price chai alik badi jasto lago but tvs raider 125 ma ramrai dekhi ko xa. very fast deliver and good response by seller. thanks seller,Positive
I'm very dissapointed You've sent me the damaged bottle,Negative
excellent,Positive
A4 paper size ma aaucha. Edkam ramro cha. Already used some of them. works nice as expected. Also you can select which grit paper you want too.,Positive
Delivered item is completely different. Need to return,Positive
Argentina lover.\nthe winner 🏆 team\nreally proud of this.,Positive
disappointed with my expectations. bt exactly as in pix.,Negative
